Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
234,Lucas,82,85,Attacker,RW,24,Brazil,Brazil,Paris Saint-Germain,28M,92K,93,74,75,86,45,62
235,H. Son,82,85,Midfielder,LM,24,Korea Republic,Korea Republic,Tottenham Hotspur,28M,95K,86,83,75,83,25,66
236,F. Acerbi,82,82,Defender,CB,29,Italy,Italy,Sassuolo,17M,68K,62,50,58,57,85,77
237,G. Xhaka,82,85,Midfielder,CM,24,Switzerland,Switzerland,Arsenal,27.5M,110K,50,66,79,71,72,78
238,Jonathan Viera,82,82,Midfielder,CM,27,Spain,Spain,UD Las Palmas,23M,31K,80,75,81,86,52,68
239,Pizzi,82,82,Midfielder,CM,27,Portugal,Portugal,SL Benfica,23M,19K,79,77,81,83,61,69
240,Willian José,82,86,Attacker,ST,25,Brazil,Brazil,Real Sociedad,29M,42K,67,82,65,76,37,77
241,O. Baumann,82,84,Goalkeeper,GK,27,Germany,Germany,TSG 1899 Hoffenheim,18M,37K,82,82,64,84,49,81
242,G. Medel,82,82,Midfielder,CDM,29,Chile,Chile,Beşiktaş JK,17M,64K,74,48,68,70,81,81
243,Víctor Ruíz,82,83,Defender,CB,28,Spain,Spain,Villarreal CF,20M,43K,58,42,64,60,83,81
244,X. Shaqiri,82,85,Midfielder,RM,25,Switzerland,Switzerland,Stoke City,28M,85K,83,77,78,85,46,65
245,J. Cuadrado,82,82,Midfielder,RM,29,Colombia,Colombia,Juventus,21.5M,130K,91,74,75,87,61,65
246,C. Immobile,82,83,Attacker,ST,27,Italy,Italy,Lazio,26M,70K,81,83,61,77,38,74
247,Douglas Costa,82,82,Midfielder,LM,26,Brazil,Brazil,Juventus,24M,115K,92,77,77,85,32,64
248,N. Clyne,82,84,Defender,RB,26,England,England,Liverpool,22M,115K,83,61,71,77,80,76
249,Iborra,82,82,Midfielder,CDM,29,Spain,Spain,Leicester City,17M,85K,50,73,73,69,83,83
250,K. Trapp,82,84,Goalkeeper,GK,26,Germany,Germany,Paris Saint-Germain,18.5M,71K,80,78,79,84,49,84
251,V. Wanyama,82,85,Midfielder,CDM,26,Kenya,Kenya,Tottenham Hotspur,23M,99K,64,66,70,74,82,91
252,Taison,82,82,Midfielder,LM,29,Brazil,Brazil,Shakhtar Donetsk,21.5M,1K,92,79,75,86,47,63
253,Marlos,82,82,Midfielder,RM,29,Brazil,Brazil,Shakhtar Donetsk,21.5M,1K,83,76,78,88,48,66
254,L. Stindl,82,82,Attacker,CF,28,Germany,Germany,Borussia Mönchengladbach,23M,56K,71,84,79,79,64,74
255,M. Balotelli,82,82,Attacker,ST,26,Italy,Italy,OGC Nice,24.5M,51K,80,82,70,80,26,77
256,A. Ramsey,82,83,Midfielder,CM,26,Wales,Wales,Arsenal,25.5M,130K,68,75,79,81,65,75
257,W. Szczęsny,82,84,Goalkeeper,GK,27,Poland,Poland,Juventus,18M,90K,83,77,74,87,49,78
258,G. Sigurðsson,82,82,Midfielder,CAM,27,Iceland,Iceland,Everton,23M,130K,66,81,84,79,52,70
259,Y. Brahimi,82,82,Midfielder,LM,27,Algeria,Algeria,FC Porto,23M,21K,80,73,76,89,33,56
260,M. Arnautović,82,82,Midfielder,LM,28,Austria,Austria,West Ham United,22.5M,125K,77,74,79,82,53,81
261,J. Henderson,82,84,Midfielder,CDM,27,England,England,Liverpool,21.5M,115K,72,70,82,76,76,81
262,M. Kruse,82,82,Attacker,CF,29,Germany,Germany,SV Werder Bremen,22M,47K,71,84,82,82,39,69
263,O. Karnezis,82,82,Goalkeeper,GK,31,Greece,Greece,Watford,13.5M,30K,80,83,70,84,38,80
264,L. Fejsa,82,82,Midfielder,CDM,28,Serbia,Serbia,SL Benfica,18M,18K,53,57,66,67,81,85
265,F. Muslera,82,82,Goalkeeper,GK,31,Uruguay,Uruguay,Galatasaray SK,13.5M,57K,81,75,75,85,61,83
266,V. Ćorluka,82,82,Defender,CB,31,Croatia,Croatia,Lokomotiv Moscow,15M,54K,58,51,67,66,82,82
267,G. Wijnaldum,82,85,Midfielder,CM,26,Netherlands,Netherlands,Liverpool,27M,130K,81,75,76,84,66,74
268,F. Fazio,82,82,Defender,CB,30,Argentina,Argentina,Roma,16.5M,73K,30,41,54,54,84,81
269,O. Giroud,82,82,Attacker,ST,30,France,France,Arsenal,21.5M,140K,53,81,70,73,38,83
270,B. Ivanović,82,82,Defender,CB,33,Serbia,Serbia,Zenit St. Petersburg,9M,73K,62,61,68,60,82,83
271,J. Hernández,82,82,Attacker,ST,29,Mexico,Mexico,West Ham United,22M,135K,79,80,66,78,31,59
272,Beñat,82,82,Midfielder,CM,30,Spain,Spain,Athletic Club de Bilbao,20.5M,35K,58,75,84,75,66,74
273,L. Bender,82,83,Midfielder,CDM,28,Germany,Germany,Bayer 04 Leverkusen,20M,64K,68,64,73,72,82,79
274,A. Witsel,82,82,Midfielder,CM,28,Belgium,Belgium,,0,0,71,73,77,82,73,80
275,C. Bravo,82,82,Goalkeeper,GK,34,Chile,Chile,Manchester City,9M,110K,80,80,87,81,56,77
276,A. Begović,82,82,Goalkeeper,GK,30,Bosnia Herzegovina,Bosnia Herzegovina,Bournemouth,14M,64K,81,81,73,82,55,79
277,Naldo,82,82,Defender,CB,34,Brazil,Brazil,FC Schalke 04,6.5M,48K,69,69,63,61,84,73
278,D. Sturridge,82,82,Attacker,ST,27,England,England,Liverpool,23.5M,140K,76,82,69,79,25,68
279,D. Rose,82,83,Defender,LB,26,England,England,Tottenham Hotspur,21M,99K,81,63,73,77,81,78
280,C. Vela,82,82,Attacker,RW,28,Mexico,Mexico,Real Sociedad,22.5M,46K,84,79,77,82,25,66
281,E. Viviano,82,82,Goalkeeper,GK,31,Italy,Italy,Sampdoria,13.5M,37K,81,84,79,83,32,78
282,G. Castro,82,82,Midfielder,CM,30,Germany,Germany,Borussia Dortmund,20.5M,72K,71,72,83,81,72,68
283,S. Nasri,82,82,Midfielder,LM,30,France,France,Antalyaspor,21M,29K,78,76,81,84,38,59
284,A. Williams,82,82,Defender,CB,32,Wales,Wales,Everton,12.5M,115K,65,43,56,60,81,81
285,S. Mandanda,82,82,Goalkeeper,GK,32,France,France,Olympique de Marseille,12.5M,31K,86,78,77,85,48,77
286,L. Baines,82,82,Defender,LB,32,England,England,Everton,12.5M,115K,70,71,80,79,80,71
287,A. Consigli,82,82,Goalkeeper,GK,30,Italy,Italy,Sassuolo,14M,52K,82,83,72,84,40,81
288,João Moutinho,82,82,Midfielder,CM,30,Portugal,Portugal,AS Monaco,20.5M,48K,69,75,81,81,70,72
289,B. Costil,82,82,Goalkeeper,GK,29,France,France,Girondins de Bordeaux,15M,46K,82,80,78,84,51,82
290,Raúl Albiol,82,82,Defender,CB,31,Spain,Spain,Napoli,15M,73K,57,41,57,59,84,76
291,J. Hart,82,82,Goalkeeper,GK,30,England,England,West Ham United,14M,110K,83,78,75,83,60,81
292,M. Gómez,82,82,Attacker,ST,31,Germany,Germany,VfL Wolfsburg,20M,85K,72,82,62,72,28,78
293,Raffael,82,82,Attacker,CF,32,Brazil,Brazil,Borussia Mönchengladbach,17.5M,54K,72,79,80,87,41,67
294,A. Turan,82,82,Midfielder,CM,30,Turkey,Turkey,FC Barcelona,20.5M,170K,71,73,81,85,61,72
295,Fernandinho,82,82,Midfielder,CDM,32,Brazil,Brazil,Manchester City,12.5M,130K,73,73,76,77,77,78
296,David Villa,82,82,Attacker,ST,35,Spain,Spain,New York City Football Club,10M,12K,69,83,74,82,31,69
297,S. Lichtsteiner,82,82,Defender,RB,33,Switzerland,Switzerland,Juventus,8.5M,115K,77,59,73,76,80,77
298,R. Jarstein,82,82,Goalkeeper,GK,32,Norway,Norway,Hertha BSC Berlin,12.5M,30K,78,81,72,85,43,87
299,Gabriel Jesus,81,92,Attacker,ST,20,Brazil,Brazil,Manchester City,31M,115K,87,79,71,87,26,67
300,Nélson Semedo,81,87,Defender,RB,23,Portugal,Portugal,FC Barcelona,20.5M,125K,92,57,68,80,76,71
301,Gelson Martins,81,88,Midfielder,RM,22,Portugal,Portugal,Sporting CP,25M,20K,94,70,73,86,44,60
302,Malcom,81,87,Attacker,RW,20,Brazil,Brazil,Girondins de Bordeaux,24.5M,47K,83,76,78,85,26,63
303,J. Weigl,81,87,Midfielder,CDM,21,Germany,Germany,Borussia Dortmund,21M,46K,70,49,76,76,76,68
304,D. Sánchez,81,88,Defender,CB,21,Colombia,Colombia,Tottenham Hotspur,21.5M,70K,71,47,50,58,81,83
305,A. Kramarić,81,83,Attacker,ST,26,Croatia,Croatia,TSG 1899 Hoffenheim,22M,50K,73,81,70,84,26,71
306,M. Brozović,81,85,Midfielder,CM,24,Croatia,Croatia,Inter,23M,64K,73,73,79,81,68,69
307,Williams,81,87,Attacker,RW,23,Spain,Spain,Athletic Club de Bilbao,24.5M,31K,93,78,73,79,34,79
308,Dani García,81,82,Midfielder,CDM,27,Spain,Spain,SD Eibar,17M,26K,48,58,74,72,73,80
309,A. Christensen,81,89,Defender,CB,21,Denmark,Denmark,Chelsea,23M,86K,72,31,62,68,84,70
310,J. Kimmich,81,87,Defender,RB,22,Germany,Germany,FC Bayern Munich,20.5M,81K,70,67,82,80,77,72
311,Bruma,81,86,Midfielder,LM,22,Portugal,Portugal,RB Leipzig,24M,63K,93,71,73,86,34,65
312,D. Berardi,81,87,Attacker,RW,22,Italy,Italy,Sassuolo,24.5M,62K,85,80,75,84,30,72
313,M. Sanson,81,87,Midfielder,CM,22,France,France,Olympique de Marseille,24M,34K,76,75,80,80,74,77
314,A. Rabiot,81,86,Midfielder,CM,22,France,France,Paris Saint-Germain,23.5M,77K,70,72,78,78,73,77
315,R. Guerreiro,81,86,Midfielder,LM,23,Portugal,Portugal,Borussia Dortmund,24M,58K,77,75,81,84,74,63
316,J. Vardy,81,81,Attacker,ST,30,England,England,Leicester City,17M,89K,91,79,63,76,51,78
317,H. Ziyech,81,85,Midfielder,CM,24,Morocco,Morocco,Ajax,23M,16K,76,74,86,78,52,64
318,M. Keane,81,87,Defender,CB,24,England,England,Everton,21M,91K,72,49,64,67,82,82
319,Jorginho,81,84,Midfielder,CM,25,Italy,Italy,Napoli,22M,71K,75,64,80,80,70,68
320,Héctor Bellerín,81,88,Defender,RB,22,Spain,Spain,Arsenal,21M,91K,95,51,69,78,75,70
321,J. Butland,81,87,Goalkeeper,GK,24,England,England,Stoke City,18M,50K,81,83,72,85,41,78
322,S. Zaza,81,82,Attacker,ST,26,Italy,Italy,Valencia CF,21M,44K,79,80,59,77,38,83
323,T. Meunier,81,84,Defender,RB,25,Belgium,Belgium,Paris Saint-Germain,18.5M,77K,76,74,75,77,78,84
324,Felipe Anderson,81,86,Attacker,RW,24,Brazil,Brazil,Lazio,24M,57K,92,75,77,87,53,62
325,Rafinha,81,86,Midfielder,CM,24,Brazil,Brazil,FC Barcelona,23.5M,140K,74,76,79,85,62,64
326,Nacho Fernández,81,83,Defender,CB,27,Spain,Spain,Real Madrid CF,17.5M,145K,76,37,65,63,81,78
327,J. Cillessen,81,83,Goalkeeper,GK,28,Netherlands,Netherlands,FC Barcelona,15M,125K,79,83,74,77,52,81
328,Sergi Roberto,81,86,Defender,RB,25,Spain,Spain,FC Barcelona,19.5M,140K,77,64,80,76,79,72
329,W. Ben Yedder,81,82,Attacker,ST,26,France,France,Sevilla FC,21M,26K,83,79,75,85,34,63
330,Lucas Pérez,81,81,Attacker,ST,28,Spain,Spain,RC Deportivo de La Coruña,18.5M,135K,81,82,76,80,31,71
331,R. Barkley,81,86,Midfielder,CAM,23,England,England,Everton,24M,105K,77,73,77,83,55,77
332,C. Bakambu,81,84,Attacker,ST,26,DR Congo,DR Congo,Villarreal CF,22.5M,45K,87,78,72,80,35,74
333,W. Zaha,81,84,Midfielder,RM,24,Ivory Coast,Ivory Coast,Crystal Palace,22.5M,60K,90,71,71,87,33,72
334,Bartra,81,83,Defender,CB,26,Spain,Spain,Borussia Dortmund,18M,61K,77,52,70,73,82,71
335,S. Aurier,81,85,Defender,RB,24,Ivory Coast,Ivory Coast,Tottenham Hotspur,19M,79K,84,66,73,76,78,84
336,S. Coates,81,83,Defender,CB,26,Uruguay,Uruguay,Sporting CP,18M,21K,58,40,53,59,80,86
337,G. Krychowiak,81,83,Midfielder,CDM,27,Poland,Poland,West Bromwich Albion,17.5M,81K,65,58,72,66,79,86
338,K. Kampl,81,83,Midfielder,CM,26,Slovenia,Slovenia,RB Leipzig,21M,73K,80,68,77,84,58,62
339,D. Lovren,81,83,Defender,CB,27,Croatia,Croatia,Liverpool,17.5M,110K,56,40,59,62,81,82
340,A. Yarmolenko,81,81,Attacker,RW,27,Ukraine,Ukraine,Borussia Dortmund,18.5M,72K,81,78,80,83,37,76
341,Y. Belhanda,81,81,Midfielder,CAM,27,Morocco,Morocco,Galatasaray SK,18.5M,71K,75,77,79,85,56,70
342,Mário Fernandes,81,82,Defender,RWB,26,Russia,Russia,CSKA Moscow,17M,52K,84,62,73,76,80,77
343,R. Rodríguez,81,84,Defender,LB,24,Switzerland,Switzerland,Milan,18.5M,83K,74,67,80,76,77,72
344,J. Corona,81,85,Midfielder,RM,24,Mexico,Mexico,FC Porto,23M,17K,83,72,74,88,40,51
345,Mario Gaspar,81,84,Defender,RB,26,Spain,Spain,Villarreal CF,18M,38K,81,70,70,73,80,81
346,Marcos Alonso,81,83,Defender,LWB,26,Spain,Spain,Chelsea,17.5M,115K,77,69,76,76,77,80
347,M. Götze,81,85,Midfielder,CM,25,Germany,Germany,Borussia Dortmund,22.5M,63K,68,72,81,88,38,62
348,L. Hrádecký,81,83,Goalkeeper,GK,27,Finland,Finland,Eintracht Frankfurt,14.5M,28K,79,77,73,85,41,79
349,Illarramendi,81,81,Midfielder,CM,27,Spain,Spain,Real Sociedad,18M,37K,60,66,77,78,77,70
350,De Marcos,81,81,Defender,RB,28,Spain,Spain,Athletic Club de Bilbao,14M,31K,86,62,73,78,74,79
351,C. Smalling,81,82,Defender,CB,27,England,England,Manchester United,17M,120K,72,46,56,58,81,83
352,Iturraspe,81,81,Midfielder,CM,28,Spain,Spain,Athletic Club de Bilbao,17.5M,33K,59,63,77,70,79,72
353,J. Wilshere,81,84,Midfielder,CM,25,England,England,Arsenal,22M,115K,71,69,80,83,62,72
354,S. Rudy,81,82,Midfielder,CM,27,Germany,Germany,FC Bayern Munich,20M,105K,71,67,80,80,74,67
355,M. Lanzini,81,87,Midfielder,CAM,24,Argentina,Argentina,West Ham United,24.5M,95K,82,71,78,87,28,55
356,R. Boudebouz,81,82,Midfielder,CAM,27,Algeria,Algeria,Real Betis Balompié,20.5M,32K,76,78,82,82,32,62
357,Camacho,81,84,Midfielder,CDM,27,Spain,Spain,VfL Wolfsburg,18M,66K,61,60,71,68,80,81
358,Paulinho,81,81,Midfielder,CM,28,Brazil,Brazil,FC Barcelona,17.5M,165K,76,74,74,77,77,76
359,N. Kalinić,81,81,Attacker,ST,29,Croatia,Croatia,Milan,18M,84K,73,79,64,74,35,76
360,Giuliano,81,82,Midfielder,CAM,27,Brazil,Brazil,Fenerbahçe SK,20.5M,80K,81,76,77,82,45,73
361,C. Benteke,81,83,Attacker,ST,26,Belgium,Belgium,Crystal Palace,22M,75K,73,79,65,74,33,80
362,D. Perotti,81,81,Attacker,LW,28,Argentina,Argentina,Roma,18M,84K,81,71,78,85,32,59
363,M. Parolo,81,81,Midfielder,CM,32,Italy,Italy,Lazio,13.5M,60K,71,76,76,75,77,81
364,K. Mitroglou,81,81,Attacker,ST,29,Greece,Greece,Olympique de Marseille,18M,44K,58,81,64,72,19,83
365,M. Sakho,81,82,Defender,CB,27,France,France,Crystal Palace,17M,63K,61,33,62,55,80,85
366,A. Rami,81,81,Defender,CB,31,France,France,Olympique de Marseille,12M,35K,53,54,48,57,81,82
367,S. Jovetić,81,82,Attacker,ST,27,Montenegro,Montenegro,AS Monaco,21M,48K,77,81,75,85,34,66
368,S. Coleman,81,81,Defender,RB,28,Republic of Ireland,Republic of Ireland,Everton,14M,115K,73,66,72,78,80,77
369,S. Kjær,81,82,Defender,CB,28,Denmark,Denmark,Sevilla FC,16M,23K,64,55,64,52,81,80
370,Adán,81,81,Goalkeeper,GK,30,Spain,Spain,Real Betis Balompié,11.5M,24K,80,83,72,82,55,81
371,M. Valbuena,81,81,Attacker,LW,32,France,France,Fenerbahçe SK,14M,86K,80,74,79,84,29,49
372,S. Mignolet,81,81,Goalkeeper,GK,29,Belgium,Belgium,Liverpool,12M,91K,80,76,65,84,56,78
373,D. Astori,81,81,Defender,CB,30,Italy,Italy,Fiorentina,13M,68K,68,36,52,59,84,77
374,K. Mirallas,81,81,Midfielder,LM,29,Belgium,Belgium,Everton,17.5M,125K,83,77,77,84,46,65
375,Raúl García,81,81,Midfielder,CAM,30,Spain,Spain,Athletic Club de Bilbao,17M,32K,57,76,82,76,66,76
376,M. Škrtel,81,81,Defender,CB,32,Slovakia,Slovakia,Fenerbahçe SK,10M,73K,61,38,51,51,82,81
377,T. Heaton,81,81,Goalkeeper,GK,31,England,England,Burnley,11M,51K,80,79,76,83,54,80
378,H. Ben Arfa,81,81,Midfielder,CAM,30,France,France,Paris Saint-Germain,17M,88K,76,77,77,86,35,69
379,Dante,81,81,Defender,CB,33,Brazil,Brazil,OGC Nice,7M,39K,45,52,67,63,82,74
380,A. Gignac,81,81,Attacker,ST,31,France,France,Tigres U.A.N.L.,16M,84K,72,83,72,73,39,82
381,Gabi,81,81,Midfielder,CM,33,Spain,Spain,Atlético Madrid,10.5M,62K,64,72,79,76,75,73
382,G. Rodríguez,81,81,Defender,CB,33,Argentina,Argentina,San Lorenzo de Almagro,7M,27K,68,47,61,65,83,76
383,D. Srna,81,81,Defender,RB,35,Croatia,Croatia,Shakhtar Donetsk,3.8M,1K,73,75,85,75,78,74
384,B. Schweinsteiger,81,81,Midfielder,CM,32,Germany,Germany,Chicago Fire Soccer Club,13.5M,13K,39,75,81,73,74,74
385,C. Carrasso,81,81,Goalkeeper,GK,35,France,France,Galatasaray SK,4.2M,34K,78,79,81,81,40,79
386,Moyá,81,81,Goalkeeper,GK,33,Spain,Spain,Atlético Madrid,9M,46K,85,78,82,79,39,81
387,W. Rooney,81,81,Midfielder,CAM,31,England,England,Everton,15.5M,120K,68,81,80,75,52,81
388,P. Mertesacker,81,81,Defender,CB,32,Germany,Germany,Arsenal,10M,110K,27,41,55,46,85,70
389,T. Motta,81,81,Midfielder,CDM,34,Italy,Italy,Paris Saint-Germain,5.5M,81K,32,64,76,68,76,82
390,Fernando Torres,81,81,Attacker,ST,33,Spain,Spain,Atlético Madrid,11M,68K,76,78,71,79,25,69
391,S. Eto'o,81,81,Attacker,ST,36,Cameroon,Cameroon,Antalyaspor,6.5M,22K,74,83,74,79,36,71
392,M. Rashford,80,89,Midfielder,LM,19,England,England,Manchester United,22M,74K,92,76,72,82,34,74
393,S. Milinković-Savić,80,86,Midfielder,CM,22,Serbia,Serbia,Lazio,20M,52K,71,71,73,79,73,83
394,Y. Tielemans,80,90,Midfielder,CM,20,Belgium,Belgium,AS Monaco,23.5M,35K,53,79,80,77,68,71
395,Jemerson,80,86,Defender,CB,24,Brazil,Brazil,AS Monaco,17.5M,35K,63,35,51,58,81,75
396,N. Bentaleb,80,85,Midfielder,CM,22,Algeria,Algeria,FC Schalke 04,19.5M,42K,67,71,77,82,70,72
397,Alisson,80,84,Goalkeeper,GK,24,Brazil,Brazil,Roma,14M,45K,75,76,70,86,39,78
398,Alex Telles,80,84,Defender,LB,24,Brazil,Brazil,FC Porto,16M,15K,83,62,77,78,75,74
399,J. Brandt,80,88,Midfielder,LM,21,Germany,Germany,Bayer 04 Leverkusen,22M,49K,81,73,76,84,26,61
400,K. Demirbay,80,84,Midfielder,CAM,23,Germany,Germany,TSG 1899 Hoffenheim,19.5M,40K,68,73,79,82,53,71
401,D. Rugani,80,88,Defender,CB,22,Italy,Italy,Juventus,19M,88K,61,39,53,63,83,75
402,Samu Castillejo,80,85,Midfielder,RM,22,Spain,Spain,Villarreal CF,20M,36K,86,67,79,82,37,48
403,P. Zieliński,80,87,Midfielder,CM,23,Poland,Poland,Napoli,20.5M,64K,83,69,79,83,62,60
404,Ricardo Pereira,80,86,Defender,RB,23,Portugal,Portugal,FC Porto,17M,15K,88,62,77,81,77,70
405,Grimaldo,80,87,Defender,LB,21,Spain,Spain,SL Benfica,17.5M,12K,86,59,72,82,75,72
406,Fred,80,85,Midfielder,CM,24,Brazil,Brazil,Shakhtar Donetsk,19.5M,1K,82,70,76,82,71,63
407,J. Hector,80,81,Midfielder,CDM,27,Germany,Germany,1. FC Köln,14M,42K,77,60,76,75,79,77
408,E. Can,80,85,Midfielder,CM,23,Germany,Germany,Liverpool,19.5M,105K,71,67,77,77,78,84
409,S. Kolašinac,80,83,Defender,LB,24,Bosnia Herzegovina,Bosnia Herzegovina,Arsenal,15.5M,91K,78,53,61,64,78,89
410,Arrizabalaga,80,87,Goalkeeper,GK,22,Spain,Spain,Athletic Club de Bilbao,15.5M,20K,78,81,75,83,33,76
411,A. Pléa,80,86,Attacker,ST,24,France,France,OGC Nice,20.5M,41K,82,80,75,77,41,76
412,T. Stepanenko,80,81,Midfielder,CDM,27,Ukraine,Ukraine,Shakhtar Donetsk,14M,1K,67,61,72,69,79,80
413,O. Shatov,80,80,Midfielder,LM,26,Russia,Russia,Zenit St. Petersburg,16M,74K,88,73,76,82,47,68
414,Leo Baptistao,80,83,Attacker,ST,24,Brazil,Brazil,RCD Espanyol,19M,36K,79,77,69,79,28,64
415,M. Nastasić,80,84,Defender,CB,24,Serbia,Serbia,FC Schalke 04,16.5M,38K,70,31,58,49,82,75
416,Denis Suárez,80,87,Midfielder,CM,23,Spain,Spain,FC Barcelona,20.5M,140K,79,74,81,84,51,58
417,M. Batshuayi,80,85,Attacker,ST,23,Belgium,Belgium,Chelsea,20M,120K,79,80,59,77,27,74
418,J. Brooks,80,85,Defender,CB,24,United States,United States,VfL Wolfsburg,17M,57K,74,39,57,63,81,77
419,Eric Botteghin,80,80,Defender,CB,29,Brazil,Brazil,Feyenoord,11.5M,22K,34,36,48,48,82,83
420,L. Karius,80,84,Goalkeeper,GK,24,Germany,Germany,Liverpool,14M,71K,84,74,74,85,50,76
421,T. Hazard,80,84,Attacker,CF,24,Belgium,Belgium,Borussia Mönchengladbach,19.5M,44K,81,78,80,85,37,64
422,V. Germain,80,80,Attacker,ST,27,France,France,Olympique de Marseille,16M,42K,78,80,75,79,31,68
423,L. Kurzawa,80,85,Defender,LB,24,France,France,Paris Saint-Germain,16.5M,69K,77,69,77,78,77,75
424,J. Iličić,80,80,Attacker,CF,29,Slovenia,Slovenia,Atalanta,15M,42K,70,82,80,82,35,64
425,K. Volland,80,83,Attacker,ST,24,Germany,Germany,Bayer 04 Leverkusen,19M,59K,77,81,78,79,39,82
426,Allan,80,82,Midfielder,CM,26,Brazil,Brazil,Napoli,17.5M,74K,77,64,75,78,79,81
427,P. Hernández,80,80,Midfielder,CM,30,Chile,Chile,RC Celta de Vigo,13.5M,32K,71,71,75,78,64,79
428,D. Tadić,80,80,Midfielder,CAM,28,Serbia,Serbia,Southampton,15M,98K,70,67,80,83,37,63
429,L. Muriel,80,83,Attacker,ST,26,Colombia,Colombia,Sevilla FC,18.5M,26K,89,77,68,85,24,72
430,Pablo Sarabia,80,83,Midfielder,RM,25,Spain,Spain,Sevilla FC,18.5M,23K,76,73,80,84,30,53
431,A. Oxlade-Chamberlain,80,85,Midfielder,RM,23,England,England,Liverpool,20M,105K,88,70,74,84,52,70
432,J. Guilavogui,80,82,Midfielder,CDM,26,France,France,VfL Wolfsburg,15M,66K,70,59,66,67,81,81
433,O. Özyakup,80,85,Midfielder,CM,24,Turkey,Turkey,Beşiktaş JK,19.5M,54K,75,74,83,81,59,69
434,Y. Rakitskyi,80,82,Defender,CB,27,Ukraine,Ukraine,Shakhtar Donetsk,14.5M,1K,72,68,76,72,81,78
435,Sergi Enrich,80,81,Attacker,ST,27,Spain,Spain,SD Eibar,17.5M,31K,66,77,69,75,42,79
436,Neto,80,80,Goalkeeper,GK,27,Brazil,Brazil,Valencia CF,10M,30K,84,80,74,83,51,74
437,Hugo Mallo,80,83,Defender,RB,26,Spain,Spain,RC Celta de Vigo,15M,29K,74,40,70,74,77,76
438,D. Didavi,80,81,Midfielder,CAM,27,Germany,Germany,VfL Wolfsburg,17M,73K,77,81,76,81,52,72
439,R. Soriano,80,81,Midfielder,LM,26,Italy,Italy,Villarreal CF,17.5M,42K,77,77,80,81,63,73
440,A. Schürrle,80,81,Midfielder,LM,26,Germany,Germany,Borussia Dortmund,17.5M,66K,83,82,74,80,38,70
441,M. Gonalons,80,80,Midfielder,CDM,28,France,France,Roma,12M,71K,66,61,69,69,80,81
442,R. Pereyra,80,83,Midfielder,CM,26,Argentina,Argentina,Watford,18M,69K,78,66,80,82,68,68
443,K. Vogt,80,82,Defender,CB,25,Germany,Germany,TSG 1899 Hoffenheim,15M,40K,76,57,69,67,79,80
444,F. Orellana,80,80,Midfielder,CAM,31,Chile,Chile,Valencia CF,13M,40K,80,73,76,83,32,50
445,Maicon,80,80,Defender,CB,28,Brazil,Brazil,Galatasaray SK,12M,68K,63,55,65,54,81,83
446,E. Salvio,80,80,Midfielder,RM,26,Argentina,Argentina,SL Benfica,16M,17K,87,74,74,80,44,70
447,D. Blind,80,81,Defender,LB,27,Netherlands,Netherlands,Manchester United,13.5M,120K,60,56,79,75,80,76
448,S. El Shaarawy,80,83,Attacker,LW,24,Italy,Italy,Roma,19M,71K,87,75,70,85,31,58
449,M. Antonio,80,81,Attacker,ST,27,England,England,West Ham United,17.5M,120K,85,74,70,81,52,82
450,Iago Falqué,80,80,Attacker,RW,27,Spain,Spain,Torino,15.5M,61K,79,72,78,85,35,57
451,S. Rondón,80,80,Attacker,ST,27,Venezuela,Venezuela,West Bromwich Albion,16M,89K,75,76,56,74,31,80
452,Daniel Carriço,80,81,Defender,CB,28,Portugal,Portugal,Sevilla FC,13.5M,23K,57,53,68,62,80,78
453,M. Schmelzer,80,80,Defender,LB,29,Germany,Germany,Borussia Dortmund,11M,63K,80,51,69,66,79,79
454,J. McCarthy,80,83,Midfielder,CDM,26,Republic of Ireland,Republic of Ireland,Everton,15.5M,110K,70,60,75,74,77,81
455,A. Dzagoev,80,81,Midfielder,CM,27,Russia,Russia,CSKA Moscow,16.5M,57K,77,74,78,78,70,70
456,Ganso,80,81,Midfielder,CAM,27,Brazil,Brazil,Sevilla FC,17M,24K,35,75,84,81,38,63
457,F. Smolov,80,81,Attacker,ST,27,Russia,Russia,FC Krasnodar,17.5M,59K,87,80,70,77,32,73
458,D. Welbeck,80,81,Attacker,ST,26,England,England,Arsenal,17.5M,130K,84,74,71,79,37,78
459,Luiz Gustavo,80,80,Midfielder,CDM,29,Brazil,Brazil,Olympique de Marseille,11.5M,37K,64,59,68,69,80,80
460,Mikel San José,80,80,Midfielder,CM,28,Spain,Spain,Athletic Club de Bilbao,14.5M,33K,43,70,70,70,79,78
461,M. Darmian,80,81,Defender,LB,27,Italy,Italy,Manchester United,13.5M,120K,77,58,68,75,80,73
462,R. Thomas,80,80,Defender,CB,29,France,France,Angers SCO,11.5M,32K,54,34,58,47,80,76
463,I. Traoré,80,80,Midfielder,RM,29,Guinea,Guinea,Borussia Mönchengladbach,14.5M,48K,88,72,77,84,39,56
464,Sidnei,80,82,Defender,CB,27,Brazil,Brazil,RC Deportivo de La Coruña,14.5M,29K,51,50,59,68,80,81
465,J. Lens,80,80,Midfielder,RM,29,Netherlands,Netherlands,Beşiktaş JK,14.5M,17K,89,76,76,81,32,71
