Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
1423,A. Knockaert,76,79,Midfielder,RM,25,France,France,Brighton & Hove Albion,9.5M,50K,75,72,72,81,30,67
1424,P. Pekarík,76,76,Defender,RB,30,Slovakia,Slovakia,Hertha BSC Berlin,5.5M,29K,74,39,66,74,73,69
1425,E. Valencia,76,77,Attacker,ST,27,Ecuador,Ecuador,Tigres U.A.N.L.,9M,70K,85,76,66,74,43,70
1426,Koo Ja Cheol,76,76,Midfielder,CAM,28,Korea Republic,Korea Republic,FC Augsburg,8M,30K,73,76,73,79,56,65
1427,G. Kashia,76,76,Defender,CB,29,Georgia,Georgia,Vitesse,6M,15K,58,27,61,59,75,79
1428,R. Vlaar,76,76,Defender,CB,32,Netherlands,Netherlands,AZ Alkmaar,4.4M,13K,38,57,57,53,78,77
1429,S. Kums,76,76,Midfielder,CM,29,Belgium,Belgium,RSC Anderlecht,7.5M,28K,65,64,77,75,67,62
1430,Fábio Martins,76,82,Midfielder,LM,23,Portugal,Portugal,SC Braga,10.5M,13K,77,73,71,79,44,68
1431,E. Balanta,76,82,Defender,CB,24,Colombia,Colombia,FC Basel,9M,32K,70,40,58,66,74,80
1432,M. Schmiedebach,76,76,Midfielder,CDM,28,Germany,Germany,Hannover 96,6M,41K,71,47,70,76,73,74
1433,G. Peruzzi,76,79,Defender,RB,25,Argentina,Argentina,Boca Juniors,8M,23K,84,50,64,69,74,74
1434,Maicón,76,76,Midfielder,LM,27,Brazil,Brazil,Antalyaspor,8M,22K,90,69,69,72,34,71
1435,N. Castillo,76,81,Attacker,ST,24,Chile,Chile,U.N.A.M.,10.5M,25K,66,77,59,70,34,79
1436,L. Öztunali,76,84,Midfielder,RM,21,Germany,Germany,1. FSV Mainz 05,11.5M,25K,85,67,70,80,48,70
1437,M. Jojić,76,79,Midfielder,CM,25,Serbia,Serbia,1. FC Köln,9.5M,36K,73,74,77,77,50,68
1438,Santi Mina,76,83,Attacker,RW,21,Spain,Spain,Valencia CF,11M,29K,78,75,67,77,52,67
1439,G. Pazzini,76,76,Attacker,ST,32,Italy,Italy,Hellas Verona,6M,34K,66,71,56,70,26,66
1440,W. Mansila,76,76,Attacker,ST,29,Chile,Chile,Universidad de Chile,7.5M,18K,76,76,61,73,33,64
1441,M. Boselli,76,76,Attacker,ST,32,Argentina,Argentina,Club León,6M,38K,61,75,64,69,33,75
1442,M. Pereyra,76,77,Midfielder,CM,27,Uruguay,Uruguay,FC Krasnodar,8.5M,45K,73,71,76,78,64,63
1443,V. Stocker,76,76,Midfielder,CAM,28,Switzerland,Switzerland,Hertha BSC Berlin,8M,33K,67,71,74,79,38,66
1444,J. Añor,76,86,Midfielder,RM,23,Venezuela,Venezuela,Málaga CF,12.5M,23K,71,73,74,79,40,45
1445,L. Antonelli,76,76,Defender,LB,30,Italy,Italy,Milan,5.5M,80K,75,58,69,72,76,74
1446,K. Théophile-Catherine,76,77,Defender,CB,27,France,France,AS Saint-Étienne,7.5M,35K,68,50,70,69,76,76
1447,B. Embolo,76,88,Attacker,ST,20,Switzerland,Switzerland,FC Schalke 04,14M,35K,81,71,67,79,33,77
1448,A. Letellier,76,79,Goalkeeper,GK,26,France,France,Angers SCO,6.5M,20K,75,74,67,81,39,76
1449,A. Hahn,76,77,Attacker,ST,26,Germany,Germany,Hamburger SV,9M,41K,74,77,68,66,52,82
1450,A. Duncan,76,82,Midfielder,CM,24,Ghana,Ghana,Sassuolo,10.5M,47K,75,63,72,73,74,79
1451,M. Stendera,76,85,Midfielder,CAM,21,Germany,Germany,Eintracht Frankfurt,12M,25K,70,72,74,78,54,62
1452,A. Ranocchia,76,76,Defender,CB,29,Italy,Italy,Inter,6M,59K,43,32,57,58,78,75
1453,M. Isla,76,76,Defender,RB,29,Chile,Chile,Fenerbahçe SK,6M,63K,77,59,75,77,71,73
1454,Josué Sá,76,80,Defender,CB,25,Portugal,Portugal,RSC Anderlecht,8.5M,23K,58,36,51,66,76,76
1455,Thiago Maia,76,83,Midfielder,CDM,20,Brazil,Brazil,LOSC Lille,9.5M,31K,70,57,68,70,76,74
1456,B. Espinosa,76,77,Defender,CB,27,Colombia,Colombia,Girona CF,7.5M,25K,54,44,59,49,75,77
1457,I. Sosa,76,76,Midfielder,RM,30,Argentina,Argentina,Tigres U.A.N.L.,7.5M,65K,90,72,70,75,47,71
1458,N. Tomović,76,76,Defender,CB,29,Serbia,Serbia,Chievo Verona,6M,59K,70,38,59,65,77,77
1459,R. Brady,76,79,Midfielder,LM,25,Republic of Ireland,Republic of Ireland,Burnley,9.5M,55K,81,71,75,76,65,69
1460,L. Marković,76,80,Midfielder,RM,23,Serbia,Serbia,Liverpool,10M,84K,90,65,68,83,41,54
1461,P. Aguilar,76,76,Defender,CB,30,Paraguay,Paraguay,Club América,5.5M,53K,65,52,53,56,74,79
1462,N. Viergever,76,76,Defender,CB,27,Netherlands,Netherlands,Ajax,6.5M,14K,70,48,61,65,76,78
1463,R. Civelli,76,76,Defender,CB,33,Argentina,Argentina,Banfield,3.1M,17K,46,55,53,42,76,80
1464,S. De Maio,76,76,Defender,CB,30,France,France,Bologna,5.5M,50K,66,31,36,46,77,83
1465,S. Brown,76,76,Midfielder,CDM,32,Scotland,Scotland,Celtic,4.4M,53K,70,59,70,71,70,82
1466,D. Cvitanich,76,76,Attacker,ST,33,Argentina,Argentina,Banfield,4.8M,21K,68,75,67,74,33,70
1467,J. Morrison,76,76,Midfielder,CAM,31,Scotland,Scotland,West Bromwich Albion,7M,68K,65,75,76,77,58,66
1468,A. Sulu,76,76,Defender,CB,31,Turkey,Turkey,SV Darmstadt 98,5M,27K,71,45,45,58,75,78
1469,R. Saïss,76,78,Midfielder,CDM,27,Morocco,Morocco,Wolverhampton Wanderers,7.5M,51K,67,54,66,69,75,74
1470,Maurício,76,76,Midfielder,CDM,28,Brazil,Brazil,PAOK Thessaloniki,6M,1K,74,70,76,76,73,71
1471,Gabri Prestão,76,76,Goalkeeper,GK,25,Brazil,Brazil,Botafogo de Futebol e Regatas,5.5M,16K,77,74,70,75,60,77
1472,Carlos Soler,76,85,Midfielder,CM,20,Spain,Spain,Valencia CF,12M,26K,76,72,77,73,65,59
1473,Serantes,76,78,Goalkeeper,GK,27,Spain,Spain,CD Leganés,6M,21K,81,72,74,77,60,71
1474,E. Mas,76,76,Defender,LB,28,Argentina,Argentina,Trabzonspor,6M,34K,79,62,67,72,74,80
1475,Carlos Mané,76,82,Midfielder,RM,23,Portugal,Portugal,VfB Stuttgart,10.5M,16K,87,73,69,80,40,51
1476,Fred Aníbão,76,76,Goalkeeper,GK,25,Brazil,Brazil,Avaí Futebol Clube,5.5M,14K,71,77,76,77,32,72
1477,O. Romero,76,79,Midfielder,RM,24,Paraguay,Paraguay,Deportivo Alavés,10M,24K,78,73,74,79,30,62
1478,Nelsildo Reis,76,76,Goalkeeper,GK,29,Brazil,Brazil,Coritiba Foot Ball Club,5M,21K,76,77,77,74,52,76
1479,Laguardia,76,78,Defender,CB,27,Spain,Spain,Deportivo Alavés,7.5M,25K,63,40,53,46,76,82
1480,Y. Poulsen,76,83,Attacker,ST,23,Denmark,Denmark,RB Leipzig,11M,58K,86,66,63,74,37,81
1481,A. Cresswell,76,77,Defender,LB,27,England,England,West Ham United,7M,83K,76,59,72,76,73,68
1482,O. Tufan,76,80,Midfielder,CDM,22,Turkey,Turkey,Fenerbahçe SK,8.5M,52K,72,68,72,73,74,77
1483,M. Pazdan,76,76,Defender,CB,29,Poland,Poland,Legia Warszawa,6M,13K,53,45,61,56,75,82
1484,Camarasa,76,84,Midfielder,CAM,23,Spain,Spain,Real Betis Balompié,11.5M,23K,63,69,73,75,66,75
1485,D. van de Beek,76,84,Midfielder,CM,20,Netherlands,Netherlands,Ajax,11.5M,12K,65,72,74,74,61,76
1486,P. Hurtado,76,76,Midfielder,CAM,26,Peru,Peru,Vitória Guimarães,8.5M,14K,82,73,73,77,46,57
1487,J. Martin,76,77,Midfielder,CM,27,France,France,RC Strasbourg,8.5M,28K,70,71,76,73,67,74
1488,O. Murillo,76,76,Defender,CB,29,Colombia,Colombia,Pachuca,6M,33K,70,39,55,50,77,78
1489,Aythami Artiles,76,76,Defender,CB,31,Spain,Spain,UD Las Palmas,5M,22K,37,41,57,51,77,78
1490,E. Gutiérrez,76,84,Midfielder,CM,22,Mexico,Mexico,Pachuca,11M,30K,77,71,74,75,67,66
1491,F. Ferreyra,76,79,Attacker,ST,26,Argentina,Argentina,Shakhtar Donetsk,9.5M,1K,72,76,58,72,26,68
1492,Adrián González,76,76,Midfielder,CAM,29,Spain,Spain,Málaga CF,7.5M,28K,62,70,75,76,64,67
1493,M. Mavraj,76,76,Defender,CB,31,Albania,Albania,Hamburger SV,5M,35K,43,27,52,44,78,74
1494,A. Hunt,76,76,Midfielder,CAM,30,Germany,Germany,Hamburger SV,7.5M,38K,68,73,74,77,39,64
1495,F. Niederlechner,76,77,Attacker,ST,26,Germany,Germany,SC Freiburg,9M,31K,75,77,60,69,36,80
1496,S. Denswil,76,81,Defender,CB,24,Netherlands,Netherlands,Club Brugge KV,8.5M,21K,55,57,64,64,75,75
1497,A. Souquet,76,80,Defender,RB,25,France,France,OGC Nice,8M,31K,74,47,73,73,76,69
1498,S. İnan,76,76,Midfielder,CM,32,Turkey,Turkey,Galatasaray SK,6M,59K,55,73,81,74,62,64
1499,A. Delort,76,79,Attacker,ST,25,France,France,Toulouse FC,10M,35K,76,77,67,73,26,76
1500,J. Gnagnon,76,84,Defender,CB,20,Ivory Coast,Ivory Coast,Stade Rennais FC,10M,19K,66,33,46,58,76,79
1501,D. Gastaldello,76,76,Defender,CB,34,Italy,Italy,Brescia,2.3M,6K,42,39,48,54,79,70
1502,R. Bistama,76,76,Defender,CB,29,Chile,Chile,Universidad Católica,6M,9K,57,48,58,48,76,78
1503,D. Moreno,76,76,Attacker,ST,31,Colombia,Colombia,Atletico Nacional Medellin,7M,28K,72,78,69,74,32,65
1504,R. Ghezzal,76,79,Attacker,RW,25,Algeria,Algeria,AS Monaco,9.5M,38K,76,72,75,80,29,61
1505,Carlos Eduardo,76,76,Attacker,CF,27,Brazil,Brazil,Al Hilal,8M,47K,71,77,76,73,51,72
1506,R. Cabella,76,76,Midfielder,CAM,27,France,France,AS Saint-Étienne,8M,32K,80,71,74,80,44,55
1507,Mariano,76,82,Attacker,ST,23,Dominican Republic,Dominican Republic,Olympique Lyonnais,10.5M,59K,77,79,56,72,33,72
1508,F. Montero,76,76,Attacker,ST,29,Colombia,Colombia,Vancouver Whitecaps FC,7.5M,12K,72,76,69,78,41,62
1509,C. Musonda,76,85,Midfielder,RM,20,Belgium,Belgium,Chelsea,12M,80K,87,65,70,83,23,49
1510,Cejudo,76,76,Midfielder,RM,33,Spain,Spain,Western Sydney Wanderers,4.7M,13K,77,67,70,80,50,71
1511,S. Ulreich,76,76,Goalkeeper,GK,28,Germany,Germany,FC Bayern Munich,5.5M,68K,80,73,51,77,40,73
1512,J. Vázquez,76,76,Midfielder,CDM,29,Mexico,Mexico,Guadalajara,6M,55K,75,54,68,68,73,72
1513,S. Francis,76,76,Defender,CB,32,England,England,Bournemouth,4.4M,61K,65,43,69,67,76,76
1514,Welington Dano,76,76,Defender,LB,29,Brazil,Brazil,Fluminense Football Club,6M,40K,79,53,70,74,75,73
1515,Raphinha,76,84,Midfielder,LM,20,Brazil,Brazil,Vitória Guimarães,11.5M,11K,86,71,70,81,29,61
1516,O. Kucher,76,76,Defender,CB,34,Ukraine,Ukraine,Kayserispor,2.3M,17K,54,51,56,50,79,73
1517,N. Mendy,76,80,Midfielder,CDM,25,France,France,OGC Nice,8.5M,59K,71,55,71,74,73,76
1518,Rodrigo Moledo,76,76,Defender,CB,29,Brazil,Brazil,Panathinaikos FC,6M,1K,56,40,48,54,76,79
1519,H. Kiyotake,76,77,Midfielder,CAM,27,Japan,Japan,Cerezo Osaka,9M,9K,73,70,78,77,33,58
1520,Daniel Podence,76,84,Attacker,CF,21,Portugal,Portugal,Sporting CP,11.5M,16K,89,64,66,84,28,49
1521,E. Şen,76,76,Midfielder,CDM,28,Belgium,Belgium,CS Marítimo,6M,12K,66,68,67,70,77,77
1522,L. Villasoel,76,76,Defender,CB,25,Chile,Chile,Colo-Colo,7M,8K,58,50,61,47,75,79
1523,M. Lowton,76,76,Defender,RB,28,England,England,Burnley,6M,55K,75,60,69,73,74,77
1524,Tarantini,76,76,Midfielder,CM,33,Portugal,Portugal,Rio Ave FC,4.5M,12K,53,72,73,71,69,72
1525,C. Mbemba,76,82,Defender,CB,22,DR Congo,DR Congo,Newcastle United,9M,54K,74,54,53,66,75,80
1526,I. Diop,76,87,Defender,CB,20,France,France,Toulouse FC,11.5M,23K,63,31,50,48,77,81
1527,D. Labran,76,76,Midfielder,CDM,33,Chile,Chile,Universidad de Chile,3.1M,15K,68,57,72,76,72,77
1528,C. Piccini,76,82,Defender,RB,24,Italy,Italy,Sporting CP,9M,15K,75,37,65,72,76,75
1529,L. Skorupski,76,79,Goalkeeper,GK,26,Poland,Poland,Roma,6.5M,46K,80,75,54,81,51,75
1530,M. Le Marchand,76,79,Defender,CB,27,France,France,OGC Nice,8M,33K,76,38,67,65,75,78
1531,T. Klose,76,76,Defender,CB,29,Switzerland,Switzerland,Norwich City,6M,40K,50,40,57,40,76,74
1532,A. Regattin,76,77,Midfielder,LM,25,Morocco,Morocco,Osmanlıspor,9M,21K,79,70,74,80,60,67
1533,M. Pjaca,76,86,Attacker,LW,22,Croatia,Croatia,Juventus,12.5M,89K,84,67,73,85,28,68
1534,R. Vercoutre,76,76,Goalkeeper,GK,37,France,France,SM Caen,525K,13K,75,76,77,77,37,76
1535,José Sá,76,82,Goalkeeper,GK,24,Portugal,Portugal,FC Porto,7.5M,10K,78,74,66,79,45,72
1536,F. Cartabia,76,81,Midfielder,RM,24,Argentina,Argentina,RC Deportivo de La Coruña,10.5M,23K,78,72,73,80,33,56
1537,D. Dainelli,76,76,Defender,CB,38,Italy,Italy,Chievo Verona,1M,14K,32,33,44,49,80,64
1538,N. Pallois,76,76,Defender,CB,29,France,France,FC Nantes,6M,26K,59,50,60,57,75,83
1539,R. Lafrentz,76,76,Midfielder,CDM,29,Chile,Chile,Universidad de Chile,6M,15K,80,50,71,74,72,74
1540,B. Henrichs,76,86,Defender,RB,20,Germany,Germany,Bayer 04 Leverkusen,11M,36K,79,53,71,76,74,68
1541,D. Praet,76,81,Midfielder,CAM,23,Belgium,Belgium,Sampdoria,10.5M,34K,73,68,76,76,53,66
1542,J. Orozco,76,76,Goalkeeper,GK,31,Mexico,Mexico,Santos Laguna,4.7M,19K,76,73,83,73,60,75
1543,Gelson Fernandes,76,76,Midfielder,CDM,30,Switzerland,Switzerland,Eintracht Frankfurt,5.5M,29K,67,56,68,68,74,81
1544,André Almeida,76,77,Defender,RB,26,Portugal,Portugal,SL Benfica,7.5M,13K,65,52,72,74,76,77
1545,C. Jullien,76,80,Defender,CB,24,France,France,Toulouse FC,8.5M,26K,69,45,46,56,74,80
1546,Baiano,76,76,Defender,RB,30,Brazil,Brazil,Rayo Vallecano,5.5M,13K,77,61,64,76,74,71
1547,Matheus,76,81,Goalkeeper,GK,24,Brazil,Brazil,SC Braga,7.5M,9K,78,67,70,80,46,75
1548,A. Hurtado,76,76,Attacker,ST,30,Colombia,Colombia,Monterrey,7.5M,63K,91,72,70,80,44,71
1549,E. Paredes,76,76,Attacker,ST,36,Chile,Chile,, 0, 0,68,76,68,74,30,74
1550,M. De Sciglio,76,81,Defender,LB,24,Italy,Italy,Juventus,8.5M,73K,79,45,68,75,74,72
1551,J. Gómez,76,82,Defender,RB,23,Argentina,Argentina,Club Atlético Lanús,9M,16K,92,54,63,74,70,63
1552,J. Tomkins,76,77,Defender,CB,28,England,England,Crystal Palace,7M,55K,51,33,53,53,77,75
1553,Z. Karčemarskas,76,76,Goalkeeper,GK,34,Lithuania,Lithuania,Osmanlıspor,3.1M,16K,77,76,66,78,42,76
1554,Vieirundinho,76,76,Defender,CB,29,Brazil,Brazil,Grêmio Foot-Ball Porto Alegrense,6M,26K,61,39,52,54,76,83
1555,M. de Ligt,76,89,Defender,CB,17,Netherlands,Netherlands,Ajax,11.5M,7K,65,55,63,67,75,79
1556,Javi Espinosa,76,81,Midfielder,CAM,24,Spain,Spain,Granada CF,10.5M,23K,72,64,77,80,58,57
1557,Omar Mascarell,76,81,Midfielder,CDM,24,Spain,Spain,Eintracht Frankfurt,8.5M,25K,68,62,69,76,71,75
1558,C. Izquierdoz,76,77,Defender,CB,28,Argentina,Argentina,Santos Laguna,7M,25K,49,48,48,45,76,77
1559,T. Heurtaux,76,76,Defender,CB,28,France,France,Hellas Verona,6M,30K,65,43,49,55,78,73
1560,J. Iturbe,76,78,Attacker,RW,24,Paraguay,Paraguay,Club Tijuana,9.5M,59K,92,70,66,81,25,54
1561,G. Simeone,76,86,Attacker,ST,21,Argentina,Argentina,Fiorentina,12.5M,54K,78,75,58,75,28,66
1562,E. Insúa,76,76,Defender,LB,28,Argentina,Argentina,VfB Stuttgart,6M,28K,65,64,73,73,76,79
1563,C. Ortíz,76,77,Midfielder,CDM,28,Paraguay,Paraguay,Monterrey,7M,55K,69,57,66,73,74,77
1564,T. Kraft,76,76,Goalkeeper,GK,28,Germany,Germany,Hertha BSC Berlin,5.5M,25K,80,75,54,84,51,65
1565,Sebá,76,78,Midfielder,LM,25,Brazil,Brazil,Olympiakos CFP,9.5M,1K,87,74,68,77,48,76
1566,D. Kohr,76,81,Midfielder,CDM,23,Germany,Germany,Bayer 04 Leverkusen,8.5M,41K,66,58,63,72,74,78
1567,M. Compper,76,76,Defender,CB,32,Germany,Germany,RB Leipzig,4.4M,55K,62,37,56,56,78,69
1568,B. Natcho,76,76,Midfielder,CDM,29,Israel,Israel,CSKA Moscow,6M,46K,62,72,79,77,70,68
1569,Ibai Gómez,76,76,Midfielder,LM,27,Spain,Spain,Deportivo Alavés,8M,28K,76,75,75,81,50,66
1570,Wanderson,76,76,Attacker,ST,31,Brazil,Brazil,Dinamo Moscow,7M,42K,72,79,73,76,21,62
1571,Y. Ravet,76,76,Midfielder,RM,27,France,France,SC Freiburg,8M,29K,85,72,74,72,37,67
1572,R. Ruidíaz,76,77,Attacker,ST,26,Peru,Peru,Monarcas Morelia,9M,16K,82,77,64,76,29,58
1573,F. Bardi,76,79,Goalkeeper,GK,25,Italy,Italy,Frosinone,7M,43K,79,77,62,77,48,70
1574,Otávio,76,82,Midfielder,CDM,23,Brazil,Brazil,Girondins de Bordeaux,9M,35K,68,51,63,71,77,74
1575,Carlos Martínez,76,76,Defender,RB,31,Spain,Spain,Real Sociedad,5M,28K,61,51,71,65,77,67
1576,J. Corona,76,76,Goalkeeper,GK,36,Mexico,Mexico,Cruz Azul,1M,17K,75,78,68,74,39,78
1577,C. Zambrano,76,78,Defender,CB,27,Peru,Peru,PAOK Thessaloniki,7.5M,1K,63,49,58,67,75,78
1578,I. Fetfatzidis,76,77,Midfielder,CAM,26,Greece,Greece,Al Ahli,9M,43K,83,64,73,81,25,55
1579,Aleix Vidal,76,76,Defender,RB,27,Spain,Spain,FC Barcelona,6.5M,120K,91,67,72,81,69,70
1580,V. García,76,82,Defender,RB,23,Venezuela,Venezuela,Vitória Guimarães,9M,11K,84,40,60,75,71,71
1581,B. Jokič,76,76,Defender,LWB,31,Slovenia,Slovenia,FC Ufa,5M,29K,74,56,70,68,74,78
1582,Alberto Moreno,76,79,Defender,LB,24,Spain,Spain,Liverpool,8M,76K,88,65,68,79,68,74
1583,Diego Rico,76,81,Defender,LB,24,Spain,Spain,CD Leganés,8.5M,22K,76,56,69,67,74,78
1584,Mossoró,76,76,Midfielder,CAM,33,Brazil,Brazil,İstanbul Başakşehir FK,4.7M,29K,72,72,75,78,41,62
1585,Marc Muniesa,76,82,Defender,CB,25,Spain,Spain,Girona CF,9M,59K,58,43,64,67,76,72
1586,Samu Saiz,76,79,Midfielder,CAM,26,Spain,Spain,Leeds United,9.5M,40K,74,71,75,79,24,58
1587,Felipe,75,75,Defender,CB,32,Brazil,Brazil,Ferrara (SPAL),3.8M,14K,43,35,51,51,79,66
1588,S. Fofana,75,86,Midfielder,CM,22,Ivory Coast,Ivory Coast,Udinese,11M,23K,74,66,69,78,64,77
1589,E. Roco,75,78,Defender,CB,24,Chile,Chile,Cruz Azul,7M,23K,49,41,54,57,75,77
1590,Arribas,75,77,Defender,CB,28,Spain,Spain,RC Deportivo de La Coruña,6.5M,22K,54,36,56,56,74,75
1591,G. Lezcano,75,75,Attacker,RW,30,Argentina,Argentina,Monarcas Morelia,6.5M,13K,84,73,66,78,25,70
1592,E. Derdiyok,75,75,Attacker,ST,29,Switzerland,Switzerland,Galatasaray SK,6.5M,56K,41,76,66,67,28,71
1593,D. Siovas,75,75,Defender,CB,28,Greece,Greece,CD Leganés,5.5M,22K,39,44,55,62,76,83
1594,L. Lerager,75,80,Midfielder,CM,23,Denmark,Denmark,Girondins de Bordeaux,9M,33K,64,66,69,69,68,75
1595,Lombán,75,75,Defender,CB,30,Spain,Spain,SD Eibar,4.9M,18K,36,59,64,57,75,77
1596,Mikel Gonzalez,75,75,Defender,CB,31,Spain,Spain,Real Zaragoza,4.5M,11K,34,40,53,46,77,77
1597,T. Hlatshwayo,75,77,Defender,CB,27,South Africa,South Africa,, 0, 0,60,29,48,34,76,73
1598,Iván Cuéllar,75,75,Goalkeeper,GK,33,Spain,Spain,CD Leganés,3.4M,17K,73,75,77,77,50,72
1599,Fabrio Farinha,75,75,Midfielder,CAM,25,Brazil,Brazil,Sociedade Esportiva Palmeiras,7M,31K,75,62,75,76,52,57
1600,J. Lössl,75,76,Goalkeeper,GK,28,Denmark,Denmark,Huddersfield Town,5.5M,21K,74,77,67,77,32,71
1601,R. Álvarez,75,75,Midfielder,CAM,29,Argentina,Argentina,Sampdoria,6.5M,34K,65,71,76,77,53,71
1602,A. Masuaku,75,81,Defender,LB,23,DR Congo,DR Congo,West Ham United,7.5M,60K,86,66,70,78,70,73
1603,Rolando,75,75,Defender,CB,31,Portugal,Portugal,Olympique de Marseille,4.5M,25K,36,38,57,56,77,76
1604,Fran Rico,75,75,Midfielder,CDM,29,Spain,Spain,SD Eibar,5M,11K,58,66,76,70,69,70
1605,Caiuby,75,75,Midfielder,LM,28,Brazil,Brazil,FC Augsburg,6.5M,25K,83,70,69,74,32,78
1606,Gabriel,75,81,Midfielder,CAM,23,Brazil,Brazil,CD Leganés,9M,20K,62,70,72,78,62,75
1607,Alcalá,75,75,Defender,CB,28,Spain,Spain,Girona CF,5.5M,22K,44,48,59,52,75,80
1608,L. Refaelov,75,75,Attacker,RW,31,Israel,Israel,Club Brugge KV,6M,24K,67,74,73,79,25,50
1609,Y. Gazinskiy,75,75,Midfielder,CDM,27,Russia,Russia,FC Krasnodar,5.5M,35K,66,55,66,69,73,72
1610,J. Epazo,75,75,Goalkeeper,GK,33,Chile,Chile,Deportes Iquique,3.4M,3K,77,76,61,73,36,72
1611,M. Ninković,75,75,Midfielder,CAM,32,Serbia,Serbia,Sydney FC,5M,11K,72,71,73,76,52,66
1612,T. Huddlestone,75,75,Midfielder,CM,30,England,England,Derby County,6M,51K,43,70,78,66,70,71
1613,M. Maccarone,75,75,Attacker,ST,37,Italy,Italy,Brisbane Roar,2.4M,7K,69,78,64,76,29,62
1614,J. Chester,75,76,Defender,CB,28,Wales,Wales,Aston Villa,6M,34K,70,34,58,63,75,74
1615,D. Sakho,75,76,Attacker,ST,27,Senegal,Senegal,West Ham United,8M,83K,73,72,58,72,31,72
1616,J. Hendrix,75,82,Midfielder,CDM,22,Netherlands,Netherlands,PSV,8M,13K,71,56,68,73,72,74
1617,M. Esser,75,75,Goalkeeper,GK,29,Germany,Germany,Hannover 96,4.5M,28K,75,73,69,78,41,71
1618,C. Grenier,75,78,Midfielder,CM,26,France,France,Olympique Lyonnais,8M,52K,52,71,78,77,56,65
1619,Y. Gerhardt,75,81,Defender,LB,23,Germany,Germany,VfL Wolfsburg,7.5M,40K,69,69,75,74,70,75
1620,R. Bauer,75,79,Defender,LB,22,Germany,Germany,SV Werder Bremen,7M,21K,72,51,65,70,75,77
1621,Simão Donatinho,75,75,Goalkeeper,GK,33,Brazil,Brazil,Clube Atlético Paranaense,3.4M,12K,76,70,77,75,44,75
1622,R. Knoche,75,78,Defender,CB,25,Germany,Germany,VfL Wolfsburg,7M,44K,57,41,51,49,77,71
1623,L. Balogun,75,76,Defender,CB,29,Nigeria,Nigeria,1. FSV Mainz 05,6M,25K,70,46,62,60,74,78
1624,J. Durmaz,75,75,Midfielder,CAM,28,Sweden,Sweden,Toulouse FC,6.5M,29K,80,71,74,78,32,62
1625,N. Aké,75,85,Defender,CB,22,Netherlands,Netherlands,Bournemouth,9.5M,44K,76,49,67,65,75,74
1626,O. Hawsawi,75,75,Defender,CB,33,Saudi Arabia,Saudi Arabia,Al Hilal,2.7M,33K,71,57,53,56,74,82
1627,Fransérgio,75,77,Midfielder,CM,26,Brazil,Brazil,SC Braga,8M,12K,57,71,71,72,71,79
1628,J. Silva,75,80,Defender,LB,23,Argentina,Argentina,Sporting CP,7.5M,12K,81,60,68,73,71,73
1629,F. Fajr,75,75,Midfielder,LM,28,Morocco,Morocco,Getafe CF,6.5M,23K,67,72,77,77,48,65
1630,R. Jardelino,75,75,Defender,LB,29,Chile,Chile,Universidad Católica,5M,8K,85,63,75,76,68,72
1631,M. Ritchie,75,75,Midfielder,RM,27,Scotland,Scotland,Newcastle United,7M,58K,75,74,72,76,51,68
1632,D. Milićević,75,75,Midfielder,CAM,31,Bosnia Herzegovina,Bosnia Herzegovina,KAA Gent,6M,21K,69,74,78,73,31,52
1633,F. Chiesa,75,87,Midfielder,RM,19,Italy,Italy,Fiorentina,11.5M,29K,81,68,67,80,32,59
1634,J. Hernández,75,76,Midfielder,CDM,28,Mexico,Mexico,Pachuca,6M,28K,70,60,71,70,70,77
1635,J. Hendrick,75,80,Midfielder,CM,25,Republic of Ireland,Republic of Ireland,Burnley,8.5M,46K,72,68,74,75,71,78
1636,M. Livaja,75,79,Attacker,ST,23,Croatia,Croatia,AEK Athens,9M,1K,74,73,58,71,26,77
1637,P. Bargfrede,75,75,Midfielder,CDM,28,Germany,Germany,SV Werder Bremen,5.5M,25K,66,57,69,69,74,72
1638,C. Träsch,75,75,Defender,RB,29,Germany,Germany,FC Ingolstadt 04,5M,22K,71,60,72,70,73,76
1639,Eduardo,75,75,Goalkeeper,GK,34,Portugal,Portugal,Chelsea,2.7M,64K,75,74,71,75,45,78
1640,R. Malinovskyi,75,79,Midfielder,CM,24,Ukraine,Ukraine,KRC Genk,8.5M,15K,69,75,78,73,58,70
1641,D. D'Ambrosio,75,75,Defender,RB,28,Italy,Italy,Inter,5.5M,50K,75,57,65,71,75,73
1642,I. Herreras,75,75,Defender,LB,25,Chile,Chile,Colo-Colo,6M,7K,82,53,67,72,73,70
1643,D. Liénard,75,75,Midfielder,CM,29,France,France,RC Strasbourg,6.5M,24K,66,69,76,72,57,70
1644,Y. Pelé,75,75,Goalkeeper,GK,34,France,France,Olympique de Marseille,2.7M,20K,75,74,70,76,49,72
1645,G. Conti,75,83,Defender,CB,22,Argentina,Argentina,Colon de Santa Fe,8.5M,10K,70,36,45,43,78,73
1646,W. Routledge,75,75,Midfielder,RM,32,England,England,Swansea City,5M,57K,72,66,70,81,36,61
1647,Garry Rodrigues,75,76,Midfielder,LM,26,Cape Verde,Cape Verde,Galatasaray SK,8M,50K,87,68,69,78,46,66
1648,K. Malcuit,75,76,Defender,RB,25,France,France,LOSC Lille,6.5M,33K,84,63,68,77,71,75
